bgc,9788007,8074,6,10
bgd,9855566,8639,73,191
bge,9996689,9984,34,104
bgf,9903336,8169,183,304
bgg,9864809,8416,22,59
caa,9983434,10877,58,175
cab,9719721,9581,5,12
cac,9686674,8804,165,315
cad,9920576,7849,30,74
cae,9888617,9375,148,311
caf,9855915,9345,70,187
cag,9867873,10452,8,27
cba,9933991,6978,50,73
cbb,9636336,9685,63,108
cbc,9955616,8047,139,290
cbd,9766318,10409,91,268
cbe,9631736,8473,192,401
cbf,9997931,9883,5,13
cbg,9995337,10156,115,209
cca,9987398,7892,123,289
ccb,9784443,10832,146,243
ccc,9653307,9007,275,586
ccd,9339522,9553,91,279
cce,9894390,10465,184,298
ccf,9850081,10309,397,667
ccg,9865456,9207,140,277
cda,9968152,8960,133,278
cdb,9701556,10902,135,327
cdc,9867786,8168,166,243
cdd,9445602,11227,126,258
cde,9953490,9560,41,70
cdf,9577106,9531,36,73
cdg,9956494,7914,112,251
cea,9904636,9108,39,73
ceb,9889965,8282,137,222
cec,9984956,8323,117,212
ced,9575901,9083,61,90
cee,9835573,8608,74,191
cef,9811322,6930,101,215
ceg,9750410,10323,446,691
cfa,9003399,10152,80,180
cfb,9662426,10106,117,212
cfc,9930115,8563,51,111
cfd,9971241,7922,6,14
cfe,9826867,10504,106,237
cff,9898543,9686,392,558
cfg,9774597,8486,15,40
cga,9625344,8733,5,9
cgb,9920663,10225,112,250
cgc,9978337,8325,95,175
cgd,9814270,8750,9,25
cge,9550245,8836,62,158
cgf,9999008,9407,100,145
cgg,9969627,8618,160,296
daa,9723960,9756,67,179
dab,9846355,8610,116,164
dac,9957162,9506,261,661
dad,9406676,9514,123,387
dae,9971371,10566,47,70
daf,9980242,9370,15,52
dag,9983565,9540,128,239
dba,9932802,9663,101,151
dbb,9730486,9997,160,272
dbc,9950491,8835,87,200
dbd,9596821,8969,288,683
dbe,9727510,8957,215,339
dbf,9831528,10142,145,334
dbg,9937265,9840,94,242
dca,9972274,7910,148,269
dcb,9964773,9110,185,315
dcc,9913117,9553,303,552
dcd,9967343,8900,278,535
dce,9906311,11261,76,161
dcf,9835170,10264,107,282
dcg,9653703,8968,77,237
dda,9926068,8529,71,129
ddb,9648924,10052,31,59
ddc,9914652,8097,80,200
ddd,9923103,9593,81,180
dde,9645657,8762,222,450
ddf,9892106,8296,37,63
ddg,9889530,8542,224,386
dea,9721428,9504,113,273
deb,9811101,10110,19,75
dec,9761606,8518,8,24
ded,9977081,7827,80,180
dee,9606250,10860,75,159
def,9836013,8197,65,176
deg,9590681,9166,6,13
dfa,9968357,9764,84,200
dfb,9965958,7233,166,306
dfc,9676103,8436,69,134
dfd,9879125,9173,36,67
dfe,9279194,9329,106,228
dff,9935038,8564,508,1329
dfg,9775446,8745,205,351
dga,9840986,8165,78,184
dgb,9754979,7646,113,288
dgc,9929669,7386,71,210
dgd,9893450,9180,254,403
dge,9836141,9383,15,34
dgf,9907026,8696,110,174
dgg,9973633,8406,89,171
eaa,9819063,7872,228,444
eab,9953981,7365,76,145
eac,9786056,8549,12,54
ead,9919426,9991,87,204
eae,9664287,9949,5,13
eaf,9944489,8293,51,122
eag,9951926,8131,311,527
eba,9803080,8208,108,185
ebb,9909237,8389,34,144
ebc,9940185,7767,65,123
ebd,9959056,8386,18,33
ebe,9933446,9641,68,101
ebf,9952802,8671,265,452
ebg,9911653,8176,673,1361
eca,9722855,7793,7,18
ecb,9527742,10952,18,101
ecc,9656799,9133,20,86
ecd,9224966,11223,20,53
ece,9637922,8767,227,336
ecf,9999063,9149,10,43
ecg,9826272,8497,55,85
eda,9958353,8200,43,112
edb,9959863,8904,5,7
edc,9959730,9920,207,310
edd,9958814,8088,5,10
ede,9833142,10724,117,215
edf,9976581,10377,55,195
edg,9900106,9647,118,186
eea,9696555,6752,107,191
eeb,9965406,8533,171,339
eec,9855369,9379,196,308
eed,9780553,9050,5,6
eee,9982738,8664,34,79
eef,9899822,8991,128,231
eeg,9878213,6619,368,524
efa,9960234,8672,140,214
efb,9913280,8159,5,6
efc,9995703,8798,69,145
efd,9962707,8112,354,631
efe,9956819,8611,238,448
eff,9809735,10651,282,396
efg,9652489,8970,80,152
ega,9960594,9201,8,18
egb,9828788,8578,28,109
egc,9915957,8473,5,10
egd,9732508,9929,290,411
ege,9959777,9671,54,106
egf,9804958,7331,101,193
egg,9836058,7401,207,372
faa,9935447,9408,118,241
fab,9847716,8260,5,9
fac,9848621,7995,38,58
fad,9948798,10123,80,246
fae,9855541,8298,109,221
faf,9935945,8893,141,282
fag,9967593,8551,141,237
fba,9885788,7813,14,40
fbb,9938032,8533,19,78
fbc,9391383,9804,194,334
fbd,9982030,10312,5,20
fbe,9893666,8301,336,519
fbf,9945741,8914,7,24
fbg,9789340,8988,107,184
fca,9795073,8977,92,223
fcb,9993824,8721,20,51
fcc,9944802,8174,41,209
fcd,9762694,7092,16,42
fce,9999475,8475,160,221
fcf,9904804,9343,137,192
fcg,9754914,8532,142,371
fda,9935891,7027,78,151
fdb,9968524,8023,21,72
fdc,9823903,9950,35,70
fdd,9923850,7589,16,50
fde,9966670,9652,120,266
fdf,9862691,7560,53,123
fdg,9452398,11213,31,79
fea,9732243,9042,106,197
feb,9889855,7742,86,143
fec,9968861,7996,102,308
fed,9991071,11532,114,215
fee,9884767,7801,90,172
fef,9522752,9799,27,105
feg,9951028,9599,202,417
ffa,9911941,8737,110,293
ffb,9789319,9177,73,127
ffc,9974393,9408,11,24
ffd,9834764,10506,33,128
ffe,9996292,11378,108,163
fff,9540166,8517,15,49
ffg,9699029,8424,174,346
fga,9935945,7606,118,256
fgb,9688105,8695,5,14
fgc,9901488,8248,39,117
fgd,9880964,8964,20,54
fge,9825417,10052,143,214
fgf,9798272,10327,90,131
fgg,9920260,9276,80,129
gaa,9653605,8480,207,353
gab,9644086,8477,44,76
gac,9968434,8877,6,18
gad,9946370,9490,135,309
gae,9980024,9605,228,411
gaf,9787436,8994,205,432
gag,9935195,9965,33,61
gba,9838224,8641,77,202
gbb,9925335,9544,77,196
gbc,9920812,8574,258,431
gbd,9849154,8805,402,630
gbe,9644119,9726,168,253
gbf,9840413,9221,626,1271
gbg,9971297,7719,81,251
gca,9903132,8608,45,68
gcb,9832850,8160,48,127
gcc,9977284,10051,39,100
gcd,9819762,8686,161,283
gce,9737069,8636,174,317
gcf,9985190,8567,137,325
gcg,9739886,10509,22,43
gda,9895235,8556,80,114
gdb,9942237,10583,445,770
gdc,9607748,8637,38,183
gdd,9817157,8993,213,325
gde,9820488,9933,127,259
gdf,9850154,10830,100,211
gdg,9954729,9551,34,112
gea,9664948,10250,674,1542
geb,9548704,10091,38,97
gec,9896980,9741,285,434
ged,9915464,9791,367,993
gee,9623381,9458,145,210
gef,9840432,9231,167,273
geg,9842029,8935,198,349
gfa,9846925,8016,209,431
gfb,9874881,11626,46,161
gfc,9365897,9764,49,122
gfd,9991519,7175,139,285
gfe,9990251,9291,328,453
gff,9895310,9225,213,442
gfg,9982662,10107,60,107
gga,9780825,7768,62,119
ggb,9913129,10512,268,437
ggc,9538815,9508,85,193
ggd,9907003,9405,255,361
gge,9644129,8081,16,48
ggf,9586249,9592,16,41
ggg,9906963,9898,511,1026
